#Stat  Phase QA  err     wgt    traveltime   Picktime                  dist     azi    evID          elon     elat      slon      slat
GA02   P      2  0.10000 0.25000    4.240 2018-12-07T23:07:00.540000Z   11.00 358.3 KP201812072306        -21.3628  63.9962  -21.3695  64.0948
SAN_   P      2  0.10000 0.25000    4.890 2018-12-07T23:07:01.190000Z   12.13 303.4 KP201812072306        -21.3628  63.9962  -21.5701  64.0560
LH40   P      3  0.20000 0.12500    5.700 2018-12-07T23:07:02.000000Z   15.67  78.4 KP201812072306        -21.3628  63.9962  -21.0489  64.0241
SOL_   P      1  0.05000 0.50000    7.510 2018-12-07T23:07:03.810000Z   21.86 109.8 KP201812072306        -21.3628  63.9962  -20.9436  63.9290
KAS_   P      3  0.20000 0.12500    8.660 2018-12-07T23:07:04.960000Z   24.11 277.3 KP201812072306        -21.3628  63.9962  -21.8520  64.0229
HUML   P      2  0.10000 0.25000    1.420 2018-12-08T19:23:59.490000Z    0.41 347.6 KP201812081923        -21.3953  64.0477  -21.3971  64.0513
TH07   P      3  0.20000 0.12500    1.770 2018-12-08T19:23:59.840000Z    1.92  13.6 KP201812081923        -21.3953  64.0477  -21.3861  64.0644
TH21   P      2  0.10000 0.25000    1.790 2018-12-08T19:23:59.860000Z    1.48 129.2 KP201812081923        -21.3953  64.0477  -21.3718  64.0393
JA25   P      1  0.05000 0.50000    1.930 2018-12-08T19:24:00.000000Z    2.67 107.7 KP201812081923        -21.3953  64.0477  -21.3433  64.0404
SVIN   P      1  0.05000 0.50000    1.910 2018-12-08T19:23:59.980000Z    2.83 289.6 KP201812081923        -21.3953  64.0477  -21.4500  64.0562
RE09   P      2  0.10000 0.25000    2.040 2018-12-08T19:24:00.110000Z    2.75 158.8 KP201812081923        -21.3953  64.0477  -21.3750  64.0247
OH23   P      2  0.10000 0.25000    2.140 2018-12-08T19:24:00.210000Z    3.34 136.5 KP201812081923        -21.3953  64.0477  -21.3483  64.0260
EDA_   P      2  0.10000 0.25000    2.210 2018-12-08T19:24:00.280000Z    3.90   4.4 KP201812081923        -21.3953  64.0477  -21.3891  64.0826
INNS   P      2  0.10000 0.25000    2.260 2018-12-08T19:24:00.330000Z    4.13  55.0 KP201812081923        -21.3953  64.0477  -21.3260  64.0689
GR43   P      1  0.05000 0.50000    2.210 2018-12-08T19:24:00.280000Z    3.95 196.5 KP201812081923        -21.3953  64.0477  -21.4182  64.0137
VA41   P      2  0.10000 0.25000    2.510 2018-12-08T19:24:00.580000Z    5.01 314.5 KP201812081923        -21.3953  64.0477  -21.4685  64.0792
LSKA   P      1  0.05000 0.50000    2.520 2018-12-08T19:24:00.590000Z    4.92 108.2 KP201812081923        -21.3953  64.0477  -21.2996  64.0339
